Index,Composition,Phases present,Hardness (HVN),IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
120,MoNbTaW,BCC,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0
121,MoNbTiV,BCC,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0
122,Mo0.3NbTiVZr,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.233,0,0,0,0,0,0,0,0,0.233,0.233,0,0,0,0.233
123,Mo0.5NbTiVZr,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0.222,0,0,0,0,0,0,0,0,0.222,0.222,0,0,0,0.222
124,Mo0.7NbTiVZr,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149,0,0.213,0,0,0,0,0,0,0,0,0.213,0.213,0,0,0,0.213
125,MoNbTiVZr,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.2
126,Mo1.3NbTiVZr,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0,0.189,0,0,0,0,0,0,0,0,0.189,0.189,0,0,0,0.189
127,Mo1.5NbTiVZr,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0,0.182,0,0,0,0,0,0,0,0,0.182,0.182,0,0,0,0.182
128,Mo1.7NbTiVZr,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298,0,0.175,0,0,0,0,0,0,0,0,0.175,0.175,0,0,0,0.175
129,Mo2.0NbTiVZr,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0.167,0,0,0,0,0,0,0,0,0.167,0.167,0,0,0,0.167
130,MoNbTiV0.25Zr,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0,0.235,0,0,0,0,0,0,0,0,0.235,0.059,0,0,0,0.235
